                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                 1.0522,                 1.2876,                0.75111,                0.95672,                0.64381,                0.72334,                0.71305,                0.43947,                0.63795,                0.71517,                0.69944,                0.37113,                 1.2678,                 1.7337,                0.94006,                 1.0864,             0.00069304,             0.00069304,             0.00069304
                     79,                  1.054,                 1.2679,                0.73554,                0.95617,                0.66009,                0.71483,                0.71363,                0.43875,                0.64187,                0.70336,                0.68901,                0.36619,                 1.2499,                 1.7451,                0.93971,                 1.0818,             0.00068754,             0.00068754,             0.00068754
                     80,                 1.0606,                 1.2802,                0.74655,                0.95725,                 0.6499,                0.71666,                0.70896,                0.44007,                0.64188,                0.70748,                0.69259,                0.37096,                 1.2473,                 1.7373,                 0.9329,                 1.0844,             0.00068204,             0.00068204,             0.00068204
                     81,                 1.0433,                 1.2591,                 0.7369,                0.95497,                0.65236,                0.72267,                0.70407,                0.43206,                0.63925,                0.70769,                0.67983,                0.36132,                 1.2612,                 1.7673,                0.94694,                 1.0903,             0.00067654,             0.00067654,             0.00067654
                     82,                 1.0379,                 1.2653,                0.72876,                0.95265,                0.62918,                0.74844,                0.69705,                0.42602,                0.61828,                0.73216,                0.67591,                0.35939,                 1.2659,                 1.7798,                0.95338,                 1.0949,             0.00067104,             0.00067104,             0.00067104
                     83,                 1.0441,                 1.2849,                0.73834,                0.95221,                0.65939,                0.72534,                 0.7103,                0.43896,                0.64658,                0.71153,                0.68706,                0.36546,                 1.2598,                 1.7438,                0.93788,                 1.0913,             0.00066554,             0.00066554,             0.00066554
                     84,                 1.0325,                 1.2585,                0.71766,                  0.953,                0.66081,                0.72906,                0.70379,                0.43198,                0.64445,                0.71286,                0.67838,                 0.3658,                 1.2604,                 1.7647,                0.94945,                 1.0922,             0.00066005,             0.00066005,             0.00066005
                     85,                 1.0394,                 1.2692,                0.71344,                0.95284,                0.65027,                0.72816,                0.71386,                0.43941,                0.63853,                0.71516,                0.68883,                0.36707,                 1.2563,                 1.7334,                0.93393,                 1.0901,             0.00065455,             0.00065455,             0.00065455
                     86,                 1.0328,                 1.2521,                0.71178,                0.95192,                0.64205,                0.73304,                0.70468,                0.43402,                0.62059,                0.72815,                0.68076,                0.36497,                 1.2542,                 1.7661,                0.93848,                 1.0908,             0.00064905,             0.00064905,             0.00064905
                     87,                 1.0249,                 1.2348,                0.70376,                0.95213,                0.64593,                0.71648,                0.70626,                0.43743,                0.62835,                0.71167,                 0.6821,                0.36248,                 1.2715,                 1.8521,                0.95517,                 1.1032,             0.00064355,             0.00064355,             0.00064355
                     88,                 1.0318,                 1.2472,                0.70883,                  0.956,                0.64456,                0.71266,                0.70189,                0.43434,                0.63246,                0.70089,                 0.6754,                0.36451,                 1.2493,                  1.782,                0.95389,                 1.0884,             0.00063805,             0.00063805,             0.00063805
                     89,                 1.0233,                 1.2298,                0.69494,                0.94803,                 0.6297,                0.73125,                0.70149,                 0.4323,                0.62037,                0.71769,                0.67771,                0.36552,                 1.2539,                 1.8003,                 0.9603,                 1.0925,             0.00063255,             0.00063255,             0.00063255
                     90,                 1.0203,                 1.2175,                0.69501,                0.94379,                0.66883,                0.69226,                0.70238,                0.43181,                0.65737,                0.67905,                0.67934,                0.36501,                 1.2648,                 1.8316,                0.96193,                 1.0942,             0.00062705,             0.00062705,             0.00062705
                     91,                  1.012,                 1.2157,                0.69382,                0.94481,                0.66489,                0.69092,                0.70695,                0.43448,                0.65253,                0.67728,                0.67963,                0.36428,                 1.2627,                 1.8227,                0.95267,                 1.0984,             0.00062155,             0.00062155,             0.00062155
                     92,                  1.009,                  1.211,                0.69564,                0.94376,                0.63199,                0.74461,                0.70719,                0.43476,                0.62672,                0.72552,                0.68995,                0.36586,                 1.2674,                 1.7954,                0.94849,                 1.0957,             0.00061605,             0.00061605,             0.00061605
                     93,                 1.0136,                 1.2256,                0.68559,                0.94629,                0.64058,                0.71339,                0.68796,                0.42325,                0.62572,                0.69569,                0.66049,                0.35384,                 1.2743,                 1.8042,                 0.9903,                 1.1001,             0.00061055,             0.00061055,             0.00061055
                     94,                 1.0029,                 1.2041,                0.67425,                 0.9438,                0.62424,                0.72111,                 0.6924,                0.42789,                0.61719,                0.70362,                0.66794,                0.35925,                 1.2761,                 1.8402,                0.97314,                 1.0993,             0.00060505,             0.00060505,             0.00060505
                     95,                 1.0012,                 1.1995,                0.67523,                0.93961,                0.63118,                0.73509,                0.70383,                 0.4356,                0.62104,                0.71648,                0.67459,                0.36411,                 1.2643,                 1.8578,                0.94895,                 1.0965,             0.00059955,             0.00059955,             0.00059955
                     96,                0.99663,                 1.1977,                0.67569,                0.93885,                0.61549,                0.74751,                0.70254,                0.43603,                0.61862,                0.70719,                0.67581,                0.36438,                 1.2629,                 1.8396,                0.95996,                  1.098,             0.00059405,             0.00059405,             0.00059405
                     97,                0.99797,                 1.1844,                0.66772,                0.93921,                0.63872,                0.71623,                0.69987,                0.42907,                0.62546,                0.70053,                0.67622,                0.35705,                 1.2807,                 1.8778,                0.96809,                 1.1056,             0.00058855,             0.00058855,             0.00058855
